species,common,kingdom,class,records,years,lat,lon
Persicaria maculosa,,Plantae,Magnoliopsida,4,2020-2025,45.017521,-93.235948
Verbascum thapsus,,Plantae,Magnoliopsida,3,2025-2026,45.018938,-93.240578
Coronilla varia,,Plantae,Magnoliopsida,3,2025-2026,45.015104,-93.236521
Berteroa incana,,Plantae,Magnoliopsida,3,2025-2026,45.020342,-93.242019
Morus alba,,Plantae,Magnoliopsida,3,2022-2026,45.021516,-93.239519
Cirsium vulgare,,Plantae,Magnoliopsida,3,2024-2025,45.019937,-93.242984
Dianthus barbatus,,Plantae,Magnoliopsida,3,2017-2017,45.017887,-93.234319
Pachysandra terminalis,,Plantae,Magnoliopsida,2,2022-2026,45.020368,-93.237829
Sanguinaria canadensis,,Plantae,Magnoliopsida,2,2021-2026,45.021158,-93.240404
Lysimachia punctata,,Plantae,Magnoliopsida,2,2026-2026,45.019661,-93.239172
Melilotus albus,,Plantae,Magnoliopsida,2,2023-2026,45.018266,-93.238812
Fraxinus pennsylvanica,,Plantae,Magnoliopsida,2,2023-2026,45.017934,-93.242808
Phlox paniculata,,Plantae,Magnoliopsida,2,2025-2026,45.022314,-93.238307
Silene latifolia,,Plantae,Magnoliopsida,2,2025-2026,45.020868,-93.242846
Saponaria officinalis,,Plantae,Magnoliopsida,2,2020-2026,45.01868,-93.242193
Melissa officinalis,,Plantae,Magnoliopsida,2,2020-2026,45.021421,-93.243803
Hydrophyllum virginianum,,Plantae,Magnoliopsida,2,2022-2025,45.02392,-93.243413
Geranium maculatum,,Plantae,Magnoliopsida,2,2022-2025,45.023947,-93.243489
Acer negundo,,Plantae,Magnoliopsida,2,2025-2025,45.023005,-93.244331
Solanum emulans,,Plantae,Magnoliopsida,2,2022-2025,45.021396,-93.244084
Parthenocissus quinquefolia,,Plantae,Magnoliopsida,2,2023-2025,45.021372,-93.244022
Gaillardia pulchella,,Plantae,Magnoliopsida,2,2023-2025,45.020879,-93.238249
Asclepias tuberosa,,Plantae,Magnoliopsida,2,2022-2025,45.020603,-93.242324
Solidago canadensis,,Plantae,Magnoliopsida,2,2022-2024,45.021417,-93.244034
Aquilegia canadensis,,Plantae,Magnoliopsida,2,2021-2022,45.017376,-93.240082
Lamium galeobdolon,,Plantae,Magnoliopsida,2,2021-2022,45.022784,-93.24409
Achillea millefolium,,Plantae,Magnoliopsida,2,2021-2022,45.018494,-93.230642
Ratibida columnifera,,Plantae,Magnoliopsida,2,2022-2022,45.020625,-93.234161
Portulaca oleracea,,Plantae,Magnoliopsida,2,2019-2021,45.020122,-93.243972
Nepeta cataria,,Plantae,Magnoliopsida,2,2019-2020,45.018231,-93.238654
Achillea ptarmica,,Plantae,Magnoliopsida,2,2017-2017,45.018039,-93.234192
Mertensia virginica,,Plantae,Magnoliopsida,1,2026-2026,45.023822,-93.243498
Ulmus americana,,Plantae,Magnoliopsida,1,2026-2026,45.021392,-93.243783
Lonicera sempervirens,,Plantae,Magnoliopsida,1,2026-2026,45.022356,-93.237767
Mirabilis nyctaginea,,Plantae,Magnoliopsida,1,2026-2026,45.015489,-93.241587
Parietaria pensylvanica,,Plantae,Magnoliopsida,1,2026-2026,45.013339,-93.23358
Euphorbia cyparissias,,Plantae,Magnoliopsida,1,2026-2026,45.018306,-93.240792
Convolvulus arvensis,,Plantae,Magnoliopsida,1,2026-2026,45.018709,-93.238329
Lotus corniculatus,,Plantae,Magnoliopsida,1,2026-2026,45.018996,-93.237239
Erechtites hieraciifolius,,Plantae,Magnoliopsida,1,2026-2026,45.02147,-93.243675
Solanum dulcamara,,Plantae,Magnoliopsida,1,2026-2026,45.02145,-93.244033
Silphium perfoliatum,,Plantae,Magnoliopsida,1,2026-2026,45.013864,-93.234732
Physocarpus opulifolius,,Plantae,Magnoliopsida,1,2026-2026,45.021128,-93.239765
Catalpa speciosa,,Plantae,Magnoliopsida,1,2026-2026,45.016887,-93.233478
Nabalus albus,,Plantae,Magnoliopsida,1,2026-2026,45.021478,-93.243713
Sorbus aucuparia,,Plantae,Magnoliopsida,1,2026-2026,45.01817,-93.238543
Geum triflorum,,Plantae,Magnoliopsida,1,2025-2025,45.021736,-93.243562
Zizia aurea,,Plantae,Magnoliopsida,1,2025-2025,45.024972,-93.244622
Acalypha rhomboidea,,Plantae,Magnoliopsida,1,2025-2025,45.021442,-93.244042
Amelanchier arborea,,Plantae,Magnoliopsida,1,2025-2025,45.014422,-93.247162
Parthenocissus inserta,,Plantae,Magnoliopsida,1,2025-2025,45.021408,-93.244072
Hackelia virginiana,,Plantae,Magnoliopsida,1,2025-2025,45.02137,-93.243697
Oxalis dillenii,,Plantae,Magnoliopsida,1,2025-2025,45.021408,-93.2472
Acer saccharinum,,Plantae,Magnoliopsida,1,2025-2025,45.017004,-93.240754
Impatiens balsamina,,Plantae,Magnoliopsida,1,2025-2025,45.017022,-93.240794
Borago officinalis,,Plantae,Magnoliopsida,1,2025-2025,45.023639,-93.241045
Linaria vulgaris,,Plantae,Magnoliopsida,1,2025-2025,45.02112,-93.239617
Sambucus canadensis,,Plantae,Magnoliopsida,1,2025-2025,45.017573,-93.240302
Agastache foeniculum,,Plantae,Magnoliopsida,1,2025-2025,45.022766,-93.240851
Tanacetum vulgare,,Plantae,Magnoliopsida,1,2025-2025,45.015963,-93.232345
Eryngium yuccifolium,,Plantae,Magnoliopsida,1,2025-2025,45.018716,-93.232167
Cosmos bipinnatus,,Plantae,Magnoliopsida,1,2025-2025,45.021666,-93.23647
Solidago flexicaulis,,Plantae,Magnoliopsida,1,2025-2025,45.016402,-93.235999
Arctium minus,,Plantae,Magnoliopsida,1,2025-2025,45.019845,-93.240629
Tragopogon dubius,,Plantae,Magnoliopsida,1,2024-2024,45.018812,-93.243533
Rudbeckia hirta,,Plantae,Magnoliopsida,1,2024-2024,45.02102,-93.24363
Verbena hastata,,Plantae,Magnoliopsida,1,2024-2024,45.014783,-93.246806
Urtica gracilis,,Plantae,Magnoliopsida,1,2023-2023,45.016371,-93.229847
Silene dichotoma,,Plantae,Magnoliopsida,1,2023-2023,45.023056,-93.237562
Heterotheca camporum,,Plantae,Magnoliopsida,1,2023-2023,45.01954,-93.242824
Populus tremuloides,,Plantae,Magnoliopsida,1,2023-2023,45.01622,-93.232464
Populus grandidentata,,Plantae,Magnoliopsida,1,2023-2023,45.016187,-93.232441
Trifolium hybridum,,Plantae,Magnoliopsida,1,2022-2022,45.021516,-93.243692
Ranunculus abortivus,,Plantae,Magnoliopsida,1,2022-2022,45.021653,-93.243553
Viola eriocarpa,,Plantae,Magnoliopsida,1,2022-2022,45.023942,-93.243605
Prunus virginiana,,Plantae,Magnoliopsida,1,2022-2022,45.023864,-93.243042
Sorbaria sorbifolia,,Plantae,Magnoliopsida,1,2022-2022,45.018647,-93.233009
Thlaspi arvense,,Plantae,Magnoliopsida,1,2022-2022,45.023228,-93.243622
Aegopodium podagraria,,Plantae,Magnoliopsida,1,2022-2022,45.021397,-93.243758
Ajuga reptans,,Plantae,Magnoliopsida,1,2022-2022,45.016218,-93.232354
Juglans nigra,,Plantae,Magnoliopsida,1,2022-2022,45.021478,-93.243667
Artemisia ludoviciana,,Plantae,Magnoliopsida,1,2022-2022,45.024158,-93.244716
Blephilia hirsuta,,Plantae,Magnoliopsida,1,2022-2022,45.021389,-93.243705
Ostrya virginiana,,Plantae,Magnoliopsida,1,2022-2022,45.016215,-93.232615
Campsis radicans,,Plantae,Magnoliopsida,1,2022-2022,45.019607,-93.236824
Verbena stricta,,Plantae,Magnoliopsida,1,2022-2022,45.015689,-93.241305
Chelone glabra,,Plantae,Magnoliopsida,1,2022-2022,45.015808,-93.229576
Viola pubescens,,Plantae,Magnoliopsida,1,2021-2021,45.022481,-93.242472
Podophyllum peltatum,,Plantae,Magnoliopsida,1,2021-2021,45.02077,-93.244775
Chamaecrista fasciculata,,Plantae,Magnoliopsida,1,2021-2021,45.015614,-93.229004
Amaranthus caudatus,,Plantae,Magnoliopsida,1,2021-2021,45.0132,-93.24491
Monarda fistulosa,,Plantae,Magnoliopsida,1,2020-2020,45.02486,-93.244851
Echinacea purpurea,,Plantae,Magnoliopsida,1,2020-2020,45.020605,-93.234006
Impatiens capensis,,Plantae,Magnoliopsida,1,2020-2020,45.019167,-93.233344
Trifolium pratense,,Plantae,Magnoliopsida,1,2020-2020,45.015444,-93.228689
Eutrochium purpureum,,Plantae,Magnoliopsida,1,2020-2020,45.015639,-93.229476
Cichorium intybus,,Plantae,Magnoliopsida,1,2020-2020,45.015444,-93.228689
Parthenocissus tricuspidata,,Plantae,Magnoliopsida,1,2020-2020,45.015718,-93.228737
Berberis thunbergii,,Plantae,Magnoliopsida,1,2020-2020,45.01495,-93.23465
Philadelphus coronarius,,Plantae,Magnoliopsida,1,2019-2019,45.020761,-93.239423
Heliopsis helianthoides,,Plantae,Magnoliopsida,1,2019-2019,45.014256,-93.24388
Euphorbia corollata,,Plantae,Magnoliopsida,1,2019-2019,45.016017,-93.23008
Lithospermum canescens,,Plantae,Magnoliopsida,1,2019-2019,45.016097,-93.229861
Larix laricina,,Plantae,Pinopsida,1,2026-2026,45.015111,-93.23533
Juniperus horizontalis,,Plantae,Pinopsida,1,2026-2026,45.015712,-93.228545
Juniperus virginiana,,Plantae,Pinopsida,1,2026-2026,45.016109,-93.232292
Fuligo septica,,Protozoa,Myxomycetes,1,2024-2024,45.016964,-93.244842
